year,status,weighted_anc4,n_countries
2018,Acceleration Needed,52.93364704028133,19
2018,Achieved,89.93633986108367,18
2018,On Track,47,1
2019,Acceleration Needed,51.91164213755841,15
2019,Achieved,87.29754329693758,14
2019,On Track,43.663624115863925,2
2020,Acceleration Needed,54.07826787995432,11
2020,Achieved,92.48841233635018,10
2020,On Track,84.7,1
2021,Acceleration Needed,57.199102660523195,10
2021,Achieved,89.76493758349277,8
2021,On Track,58.4,1
